comp,yr,conc,angle,radius,calc_x,calc_y
Beethoven,1918,5,1.85639565893942,38,-10.7058371599743,36.4607329973509
Brahms,1918,3,1.85639565893942,36,-10.1423720462915,34.5417470501219
Chopin,1918,4,1.85639565893942,32,-9.01544181892575,30.7037751556639
Grieg,1918,1,1.85639565893942,28,-7.88851159156003,26.8658032612059
Liszt,1918,4,1.85639565893942,33,-9.29717437576718,31.6632681292784
MacDowell,1918,1,1.85639565893942,21,-5.91638369367002,20.1493524459044
Rubinstein,1918,1,1.85639565893942,23,-6.47984880735288,22.0683383931334
Saint-Saëns,1918,3,1.85639565893942,27,-7.6067790347186,25.9063102875914
Schumann,1918,2,1.85639565893942,31,-8.73370926208432,29.7442821820494
Tchaikovsky,1918,1,1.85639565893942,34,-9.57890693260861,32.6227611028929
Beethoven,1919,3,1.83854570068039,38,-10.0533436512456,36.6460131723761
Brahms,1919,2,1.83854570068039,36,-9.52422030118005,34.7172756369878
Chopin,1919,3,1.83854570068039,32,-8.46597360104893,30.8598005662114
Grieg,1919,6,1.83854570068039,28,-7.40772690091781,27.002325495435
Liszt,1919,6,1.83854570068039,33,-8.73053527608171,31.8241693339055
MacDowell,1919,1,1.83854570068039,21,-5.55579517568836,20.2517441215762
Mendelssohn,1919,1,1.83854570068039,24,-6.3494802007867,23.1448504246586
Paderewski,1919,1,1.83854570068039,5,-1.3228083751639,4.82184383847053
Rachmaninoff,1919,5,1.83854570068039,35,-9.25965862614727,33.7529068692937
Rubinstein,1919,2,1.83854570068039,23,-6.08491852575392,22.1804816569645
Saint-Saëns,1919,3,1.83854570068039,27,-7.14316522588503,26.0379567277409
Schumann,1919,1,1.83854570068039,31,-8.20141192601615,29.8954317985173
Tchaikovsky,1919,10,1.83854570068039,34,-8.99509695111449,32.7885381015996
Beethoven,1920,10,1.82069574242136,38,-9.39764702106018,36.8196174676973
Brahms,1920,3,1.82069574242136,36,-8.90303401995175,34.8817428641343
Chopin,1920,2,1.82069574242136,32,-7.91380801773489,31.0059936570082
Grieg,1920,1,1.82069574242136,28,-6.92458201551803,27.1302444498822
Liszt,1920,16,1.82069574242136,33,-8.16111451828911,31.9749309587897
Mozart,1920,4,1.82069574242136,37,-9.15034052050597,35.8506801659158
Rachmaninoff,1920,4,1.82069574242136,35,-8.65572751939754,33.9128055623528
Rubinstein,1920,1,1.82069574242136,23,-5.68804951274695,22.2855579409747
Saint-Saëns,1920,4,1.82069574242136,27,-6.67727551496381,26.1613071481007
Schumann,1920,7,1.82069574242136,31,-7.66650151718067,30.0370563552267
Tchaikovsky,1920,8,1.82069574242136,34,-8.40842101884332,32.9438682605713
Beethoven,1921,6,1.80284578416232,38,-8.73895618259346,36.9814905708073
Brahms,1921,2,1.80284578416232,36,-8.2790111203517,35.0350963302385
Chopin,1921,1,1.80284578416232,32,-7.35912099586817,31.1423078491009
Grieg,1921,3,1.80284578416232,28,-6.43923087138465,27.2495193679633
Liszt,1921,5,1.80284578416232,33,-7.58909352698905,32.1155049693853
Mozart,1921,6,1.80284578416232,37,-8.50898365147258,36.0082934505229
Rachmaninoff,1921,8,1.80284578416232,35,-8.04903858923081,34.0618992099541
Rubinstein,1921,1,1.80284578416232,23,-5.28936821578025,22.3835337665413
Saint-Saëns,1921,5,1.80284578416232,27,-6.20925834026377,26.2763222476789
Schumann,1921,2,1.80284578416232,31,-7.12914846474729,30.1691107288165
Tchaikovsky,1921,11,1.80284578416232,34,-7.81906605810993,33.0887020896697
Beethoven,1922,9,1.78499582590329,38,-8.07748100301311,37.1315809069041
Brahms,1922,4,1.78499582590329,36,-7.65235042390715,35.1772871749617
Grieg,1922,2,1.78499582590329,28,-5.95182810748334,27.3601122471925
Liszt,1922,2,1.78499582590329,33,-7.01465455524822,32.2458465770483
MacDowell,1922,2,1.78499582590329,21,-4.46387108061251,20.5200841853943
